des           g
15788 0.000000
15789 0.000000
15810 0.000000
15820 1.000000
15875 0.000000
19299 1.000000
20108 0.000000
24952 1.000000
28978 -1.000000
32929 0.000000
33340 0.000000
38628 1.000000
47171 0.000000
47932 0.000000
55638 0.000000
69986 1.000000
69990 0.000000
84719 -1.000000
84922 0.000000
90482 1.000000
91133 1.000000
91205 0.000000
118228 0.000000
119069 0.000000
119473 0.000000
120216 -1.000000
126155 0.000000
129746 0.000000
131318 0.000000
133067 -1.000000
139775 0.000000
168700 0.000000
169071 0.000000
208996 0.000000
306792 0.000000
307463 -1.000000
341520 0.000000
385185 0.000000
385445 0.000000
438028 0.000000
444745 0.000000
450265 0.000000
455502 1.000000
456826 -1.000000
469362 1.000000
469372 0.000000
469421 0.000000
469506 0.000000
469704 0.000000
469707 0.000000
469708 0.000000
469987 1.000000
470308 2.000000
491767 0.000000
500833 0.000000
500834 0.000000
500883 -1.000000
500884 0.000000
500885 0.000000
503858 0.000000
504555 1.000000
508823 -1.000000
523618 -1.000000
523644 -1.000000
523655 0.000000
523697 0.000000
523700 1.000000
523701 1.000000
523703 1.000000
523704 -1.000000
523715 0.000000
523717 0.000000
523751 -1.000000
523760 0.000000
523764 -1.000000
523766 0.000000
523768 0.000000
524216 0.000000
524460 0.000000
525258 -1.000000
529938 0.000000
530838 0.000000
531077 0.000000
532092 0.000000
533209 0.000000
533562 0.000000
534161 0.000000
534315 0.000000
534631 0.000000
535024 1.000000
535029 1.000000
535032 0.000000
535167 0.000000
535168 0.000000
535229 1.000000
535231 0.000000
543435 1.000000
547616 -1.000000
552679 1.000000
555758 1.000000
555916 1.000000
556067 0.000000
556068 0.000000
556130 1.000000
560039 1.000000
575713 0.000000
576257 1.000000
578834 0.000000
578992 0.000000
578993 0.000000
579246 1.000000
591486 -1.000000
594994 0.000000
612029 0.000000
612045 0.000000
612060 0.000000
612088 0.000000
612102 0.000000
612158 2.000000
612208 0.000000
612218 0.000000
612241 0.000000
612332 0.000000
612351 0.000000
612352 0.000000
612533 0.000000
612547 0.000000
612574 0.000000
612581 0.000000
612621 0.000000
612658 0.000000
612688 -1.000000
612772 1.000000
612952 -1.000000
613620 1.000000
620075 0.000000
622544 0.000000
J98U43R 0.000000
J98W31S 0.000000
J98W31V 0.000000
J98W31Z 0.000000
J99T11R 0.000000
K00CA5K 0.000000
K00F08B 0.000000
K00QM6H 0.000000
K01FH2U 1.000000
K01K76Y 0.000000
K01V71N 0.000000
K02CP1E 0.000000
K02G31W 0.000000
K02G32E 1.000000
K02G32L 0.000000
K02G32R 0.000000
K02GG6H 0.000000
K02TU1H 0.000000
K02VD0X 0.000000
K02VD8D 0.000000
K03FC7L 1.000000
K03H57A 0.000000
K03H57F 0.000000
