Title: Dynamical Classifications of multi-opposition TNOs as of December 2023 
Authors: Volk K., Van Laerhoven C.
Table: TNO classifications
================================================================================
Byte-by-byte Description of file: rnaasad22d4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   Des   Minor Planet Center designation (1)
   9- 18 A10    ---   Class Gladman et al. 2008 dynamical classification
  20- 21 A2     ---   p     Resonant integer p for resonant objects (2)
  23- 24 I2     ---   q     Resonant integer q for resonant objects (3)
  26- 27 A2     ---   soi   Secure (S) or insecure (I) classification (4)
  29- 36 F8.3   au    a     Barycentric semimajor axis of the best-fit orbit
  38- 42 F5.3   ---   e     Eccentricity of the best-fit orbit
  44- 50 F7.3   deg   i     Ecliptic inclination of the best-fit orbit
--------------------------------------------------------------------------------
Note (1): Packed for provisional designations.
Note (2): i/m/o for classical objects, 0 otherwise.
Note (3): 0 for non-resonant objects.
Note (4): With 'H' indicating a human judgement call.
--------------------------------------------------------------------------------
2060    centaur    0   0 S    13.660 0.381   6.936 
5145    centaur    0   0 S    20.321 0.573  24.688 
7066    centaur    0   0 S    24.516 0.518  15.647 
8405    centaur    0   0 S    18.009 0.620  17.624 
10199   centaur    0   0 S    15.759 0.171  23.390 
10370   centaur    0   0 S    25.025 0.246   4.144 
15760   classical  m   0 S    43.933 0.069   2.186 
15788   resonant   3   2 S    39.317 0.320   1.937 
15789   resonant   3   2 S    39.527 0.186   5.157 
15807   classical  m   0 S    43.747 0.061   0.564 
15809   resonant   5   3 S    42.189 0.217  14.045 
15810   resonant   3   2 S    39.354 0.117   3.803 
15820   resonant   3   2 S    39.457 0.317  12.137 
15836   resonant   4   3 S    36.377 0.074   6.555 
15874   scattering 0   0 S    83.413 0.580  23.979 
15875   resonant   3   2 S    39.381 0.331   5.691 
15883   classical  m   0 S    47.046 0.213  19.152 
16684   classical  m   0 S    44.068 0.050   3.745 
19255   classical  m   0 S    42.787 0.033   1.487 
19299   resonant   3   2 S    39.569 0.258   4.737 
19308   classical  m   0 I    43.298 0.119  27.425 
19521   classical  m   0 I    45.731 0.103  12.035 
20000   classical  m   0 S    42.948 0.054  17.175 
20108   resonant   3   2 S    39.455 0.146  19.557 
20161   resonant   2   1 S    47.796 0.398  12.424 
24835   classical  m   0 S    41.796 0.105  27.044 
24952   resonant   3   2 S    39.355 0.226  16.564 
24978   classical  m   0 S    43.320 0.049   2.394 
26181   detached   0   0 I    93.159 0.589  13.352 
26308   resonant   2   1 S    47.650 0.371  13.496 
26375   resonant   5   2 S    55.400 0.418   7.619 
28978   resonant   3   2 S    39.497 0.244  19.630 
29981   scattering 0   0 S    96.376 0.873   5.959 
31824   centaur    0   0 S    11.783 0.383   5.246 
32532   centaur    0   0 S    10.638 0.198  20.351 
32929   resonant   3   2 S    39.640 0.263   4.835 
33001   classical  m   0 S    43.451 0.038   1.456 
33128   scattering 0   0 S    33.265 0.384  14.249 
33340   resonant   3   2 S    39.249 0.252   3.038 
35671   classical  i   0 S    37.894 0.043   4.604 
38083   classical  i   0 S    38.979 0.154  12.752 
38084   resonant   5   2 S    55.608 0.414  13.150 
38628   resonant   3   2 S    39.413 0.276  15.474 
40314   detached   0   0 S    48.758 0.304  24.816 
42301   resonant   9   4 S    51.552 0.284   0.752 
42355   scattering 0   0 S    37.790 0.536   2.429 
44594   scattering 0   0 S    32.222 0.454   2.623 
45802   classical  m   0 S    43.424 0.012   1.182 
47171   resonant   3   2 S    39.407 0.225   8.415 
47932   resonant   3   2 S    39.341 0.281  10.815 
48639   classical  o   0 S    52.530 0.237   0.245 
49036   centaur    0   0 S    19.975 0.136   9.348 
49673   classical  m   0 S    43.124 0.103  22.527 
50000   classical  m   0 S    43.335 0.037   7.991 
52747   classical  m   0 I    44.397 0.060   0.546 
52872   jc         0   0 S     8.346 0.306  15.655 
52975   centaur    0   0 S    26.168 0.379  12.636 
53311   classical  m   0 S    44.066 0.062   0.368 
54520   scattering 0   0 I   123.276 0.768   5.707 
54598   centaur    0   0 S    16.490 0.201  20.737 
55565   classical  m   0 S    47.196 0.129  24.383 
55576   centaur    0   0 S    25.011 0.393  13.343 
55636   classical  m   0 S    43.253 0.123  25.854 
55637   classical  m   0 S    42.668 0.142  19.434 
55638   resonant   3   2 S    39.294 0.288  16.327 
58534   classical  m   0 S    45.218 0.120   2.898 
59358   scattering 0   0 S    41.446 0.208  10.029 
60454   classical  m   0 S    44.316 0.086   1.164 
60458   detached   0   0 S    59.496 0.404  19.702 
60558   centaur    0   0 S    10.712 0.457   4.341 
60608   scattering 0   0 S    49.180 0.541   5.951 
60620   resonant   7   4 S    43.742 0.221  19.511 
60621   resonant   5   2 S    55.315 0.402   5.871 
63252   centaur    0   0 S     9.756 0.297  12.585 
65489   scattering 0   0 S   100.526 0.823  22.296 
66452   classical  m   0 S    44.950 0.065   2.659 
66652   resonant   7   4 I    43.731 0.087   0.563 
69986   resonant   3   2 S    39.435 0.225  13.933 
69987   classical  m   0 S    42.516 0.022   1.047 
69988   resonant   5   2 S    55.181 0.429   9.456 
69990   resonant   3   2 S    39.232 0.186   6.578 
73480   scattering 0   0 S    30.911 0.569  16.634 
76803   classical  i   0 S    38.606 0.123  33.732 
