idegmean, nodedegmean      2.58     31.30
irep, nreps, i_mid_deg, node_mid_deg, diff_deg, elapsed_minutes
   1  40  4.78   5.99  2.68       0.95
   2  40  4.83  18.76  2.38       1.91
   3  40  2.75   7.65  1.10       2.87
   4  40  4.71 356.15  2.99       3.84
   5  40  1.93  21.15  0.76       4.80
   6  40  4.25 349.57  2.89       5.76
   7  40  1.85  31.48  0.73       6.72
   8  40  3.72  19.84  1.30       7.68
   9  40  1.60  76.97  1.86       8.64
  10  40  4.97  13.20  2.64       9.61
  11  40  3.21  39.51  0.75      10.56
  12  40  2.11  31.72  0.47      11.51
  13  40  2.01  46.18  0.82      12.47
  14  40  2.12  88.47  2.28      13.42
  15  40  3.52  15.95  1.24      14.38
  16  40  5.94   4.84  3.81      15.33
  17  40  3.25  64.36  1.78      16.28
  18  40  2.49 119.11  3.52      17.23
  19  40  3.86  15.64  1.54      18.19
  20  40  2.01  41.47  0.70      19.15
  21  40  2.70  51.35  0.93      20.11
  22  40  1.93  46.14  0.87      21.08
  23  40  2.88   8.00  1.14      22.05
  24  40  2.47  16.21  0.67      23.00
  25  40  2.73  41.22  0.48      23.95
  26  40  2.04  47.83  0.85      24.91
  27  40  3.60  23.30  1.10      25.86
  28  40  2.67  40.91  0.45      26.81
  29  40  3.19  38.36  0.70      27.76
  30  40  3.54  11.45  1.42      28.72
  31  40  4.42 350.08  3.01      29.67
  32  40  2.99   1.82  1.47      30.62
  33  40  1.75  20.28  0.92      31.57
  34  40  4.50 357.66  2.75      32.52
  35  40  4.26  49.07  1.97      33.47
  36  40  5.13 358.03  3.29      34.43
  37  40  3.54   5.61  1.65      35.39
  38  40  3.51  10.03  1.45      36.36
  39  40  4.30   4.79  2.30      37.31
  40  40  3.09 357.09  1.74      38.26
