i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
8.32,15.18,2.68,0.13965266734125914,0.03789044847209923
10.0,356.33,0.98,0.17329207222916493,-0.011115183739718074
10.0,355.05,1.2,0.17300053534154583,-0.014983470178311574
10.0,15.97,2.43,0.16694638037063217,0.047776518167296375
10.0,359.14,0.49,0.17362861699729223,-0.0026063320305362344
8.73,6.06,1.43,0.15093021914631213,0.016023222670530995
10.0,22.47,3.54,0.1604647695441597,0.06636827059812178
10.0,338.57,4.03,0.16164294825281383,-0.0634448334159997
10.0,356.44,0.96,0.17331309247091561,-0.010782466564458042
10.0,2.77,0.14,0.17344528333424505,0.008391858920957656
9.86,357.93,0.71,0.1711295777315452,-0.006185314750700986
10.0,8.87,1.2,0.17157147335515416,0.026775345708084323
10.0,356.59,0.93,0.17334072693586022,-0.01032869751678987
8.11,0.92,1.9,0.14105583547700323,0.00226513233256535
10.0,349.94,2.08,0.17097840103193399,-0.030332754368981387
10.0,359.93,0.35,0.17364804807110987,-0.0002121512180492936
10.0,19.02,2.95,0.16416783340122934,0.05659162555884051
10.0,359.72,0.39,0.17364610413767162,-0.0008486017055774008
10.0,359.29,0.46,0.17363484533524787,-0.0021517649616882547
9.96,359.85,0.37,0.17296001716787665,-0.0004528093005852977
9.43,341.22,3.53,0.1551198103029171,-0.05274667587236556
8.01,43.15,6.58,0.10166201746859972,0.09530017476263182
10.0,7.72,1.0,0.17207429471975486,0.02332652361036126
10.0,356.76,0.9,0.17337060975626195,-0.00981434051720917
10.0,355.15,1.18,0.17302642292225104,-0.014681504615540068
7.38,337.63,4.46,0.11878302418692949,-0.04888608476642206
6.64,55.48,8.05,0.06552716853466024,0.09527136079248641
10.0,2.64,0.12,0.173463877390867,0.007998302793222013
6.79,5.34,3.25,0.1177175365587334,0.011003220659930476
9.46,45.25,7.17,0.11571116204651337,0.11672536415387084
10.0,7.11,0.89,0.17231288399994288,0.021493245791830262
10.0,346.91,2.61,0.16913601842807496,-0.0393280672973347
10.0,357.51,0.77,0.173484222423698,-0.007544148533180676
10.0,358.35,0.63,0.1735761776093705,-0.00500001735657723
10.0,2.5,0.09,0.1734829030790772,0.007574427126938522
9.99,5.4,0.6,0.17270639971337426,0.01632556139568745
10.0,10.89,1.55,0.17052106938370995,0.032806318039087755
10.0,356.89,0.88,0.17339243151068812,-0.009420950156811667
10.0,4.64,0.47,0.17307907114163992,0.014047232460272886
10.0,12.83,1.88,0.1693127414908111,0.03856015010229571
10.0,13.43,1.99,0.168899664398407,0.04033104230182116
