i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
3.71,63.7,3.74,0.028669575553094077,0.05800847805155704
6.23,344.77,9.33,0.10470855921176017,-0.02850756662312503
2.58,101.46,1.64,-0.008943606600394649,0.04411685848256815
10.0,154.7,7.07,-0.1569922872090662,0.07420991418881895
6.84,143.87,3.59,-0.09619254559781783,0.07022198882169864
4.12,0.05,6.89,0.0718455851280786,6.269711659087122e-05
4.65,156.81,2.48,-0.07451872341122219,0.03192337165397982
6.39,126.69,2.74,-0.06649740546701353,0.08924561676375985
8.66,141.56,5.27,-0.11793593765849193,0.09360900408876288
3.1,4.33,5.87,0.05392445788740274,0.004082995884400295
10.0,166.71,7.67,-0.16899770741980125,0.039918222579381636
5.7,16.66,7.67,0.09515059238258368,0.028474154217157877
6.19,122.15,2.55,-0.05737818805226781,0.09129159729055168
6.14,154.31,3.46,-0.09638569205320438,0.046366583835614324
4.3,0.91,7.02,0.07496927019503791,0.0011907992779951373
3.64,124.78,0.01,-0.036214839782185766,0.052145156457622396
2.03,117.66,1.66,-0.01644409408335974,0.031374584065063715
8.65,145.94,5.41,-0.1245975688560656,0.08423209651765343
3.95,18.5,6.08,0.06532613647879955,0.02185781950695997
0.89,187.71,3.34,-0.015392386004162864,-0.002083867891782673
3.47,145.34,1.28,-0.04978505824825242,0.03442141251267855
2.94,81.26,2.53,0.007793585873210395,0.050694586291439775
5.78,172.68,4.29,-0.09988823654816793,0.012831419565064067
5.61,115.02,2.11,-0.04134464748117758,0.08858313959477897
10.0,348.59,12.88,0.17021631003474405,-0.03435254583290285
8.06,336.0,11.34,0.12808823671395111,-0.05702855723564102
3.53,42.87,4.71,0.045125450411555676,0.04188914709036827
7.01,334.54,10.34,0.11019048440258515,-0.052463767509343937
4.68,158.46,2.6,-0.075892443613889,0.02995604944545665
3.56,2.76,6.31,0.06202172128196367,0.00298996680476464
9.64,349.83,12.49,0.16482600832062833,-0.029567791542233112
5.53,125.85,1.88,-0.05643875966509327,0.07811050595385548
3.48,356.17,6.43,0.06056455525652142,-0.004054545858079752
3.76,39.63,5.01,0.05050627478601535,0.04182698697195658
9.64,154.72,6.72,-0.151419978123585,0.07151124065942241
5.78,351.93,8.69,0.09971172078790176,-0.014137816884971365
10.0,161.38,7.39,-0.1645589136156435,0.05544414808331876
4.01,340.52,7.29,0.06592761096598664,-0.023320295768896382
7.59,128.37,3.95,-0.08198909311091626,0.10355583096765922
5.92,153.6,3.24,-0.09238348460694125,0.045859560022920735
4.97,131.9,1.42,-0.05785708875596056,0.0644827791631208
3.0,86.0,2.29,0.0036507717575345986,0.052208468483931986
0.67,8.5,3.99,0.011564997148170957,0.0017284004043939569
6.55,145.4,3.38,-0.09389535122956612,0.06477406408394186
10.0,143.07,6.63,-0.1388091732301897,0.10433457257398904
7.64,142.35,4.3,-0.10526277759082635,0.08120968706199772
10.0,158.16,7.23,-0.16118481187849967,0.06459989184773048
3.1,357.94,6.04,0.054043863599069354,-0.0019439190125844197
2.18,114.17,1.56,-0.015574892554203938,0.03470429520527925
10.0,4.38,12.26,0.17314103321078225,0.013261682613778625
2.53,92.39,2.03,-0.0018407976954994503,0.04410408328292941
7.42,141.07,4.05,-0.10046120432466848,0.08114885896537667
3.98,126.88,0.36,-0.04165474214147061,0.0555192594925952
3.92,161.27,2.38,-0.06474316628457061,0.021952142747303397
10.0,139.09,6.52,-0.13123273206295588,0.11371745531068762
6.98,80.21,5.07,0.02066344662135784,0.11975320621159835
1.82,338.17,5.27,0.02948220596750025,-0.011809951227502424
3.64,100.8,1.52,-0.011896325913777355,0.06236272438077487
10.0,158.91,7.27,-0.16201658924287218,0.06248451341854425
4.08,128.02,0.48,-0.04382343117044247,0.056051094028498866
10.0,119.09,6.38,-0.08442476956114219,0.15174369143919572
5.72,155.51,3.18,-0.0907003983466204,0.041315436509510556
4.67,85.43,2.96,0.006487035257916807,0.08115781407966637
10.0,134.97,6.44,-0.12272349559660749,0.12285207867836533
2.99,345.41,6.23,0.0504796124393822,-0.013139546438593195
8.7,150.05,5.62,-0.13106166302708402,0.07551606601536281
0.92,343.64,4.4,0.015406231647511849,-0.004522615707187279
