idegmean, nodedegmean     10.00      1.96
irep, nreps, i_mid_deg, node_mid_deg, diff_deg, elapsed_minutes
   1  40  8.32  15.18  2.68       0.17
   2  40 10.00 356.33  0.98       0.34
   3  40 10.00 355.05  1.20       0.51
   4  40 10.00  15.97  2.43       0.69
   5  40 10.00 359.14  0.49       0.86
   6  40  8.73   6.06  1.43       1.03
   7  40 10.00  22.47  3.54       1.20
   8  40 10.00 338.57  4.03       1.37
   9  40 10.00 356.44  0.96       1.54
  10  40 10.00   2.77  0.14       1.71
  11  40  9.86 357.93  0.71       1.88
  12  40 10.00   8.87  1.20       2.05
  13  40 10.00 356.59  0.93       2.22
  14  40  8.11   0.92  1.90       2.39
  15  40 10.00 349.94  2.08       2.56
  16  40 10.00 359.93  0.35       2.73
  17  40 10.00  19.02  2.95       2.91
  18  40 10.00 359.72  0.39       3.07
  19  40 10.00 359.29  0.46       3.24
  20  40  9.96 359.85  0.37       3.41
  21  40  9.43 341.22  3.53       3.58
  22  40  8.01  43.15  6.58       3.75
  23  40 10.00   7.72  1.00       3.93
  24  40 10.00 356.76  0.90       4.10
  25  40 10.00 355.15  1.18       4.27
  26  40  7.38 337.63  4.46       4.43
  27  40  6.64  55.48  8.05       4.61
  28  40 10.00   2.64  0.12       4.78
  29  40  6.79   5.34  3.25       4.95
  30  40  9.46  45.25  7.17       5.12
  31  40 10.00   7.11  0.89       5.29
  32  40 10.00 346.91  2.61       5.46
  33  40 10.00 357.51  0.77       5.64
  34  40 10.00 358.35  0.63       5.81
  35  40 10.00   2.50  0.09       5.98
  36  40  9.99   5.40  0.60       6.15
  37  40 10.00  10.89  1.55       6.32
  38  40 10.00 356.89  0.88       6.50
  39  40 10.00   4.64  0.47       6.67
  40  40 10.00  12.83  1.88       6.84
