idegmean, nodedegmean      3.65    124.84
irep, nreps, i_mid_deg, node_mid_deg, diff_deg, elapsed_minutes
   1  40  3.71  63.70  3.74       0.18
   2  40  6.23 344.77  9.33       0.35
   3  40  2.58 101.46  1.64       0.53
   4  40 10.00 154.70  7.07       0.71
   5  40  6.84 143.87  3.59       0.89
   6  40  4.12   0.05  6.89       1.06
   7  40  4.65 156.81  2.48       1.25
   8  40  6.39 126.69  2.74       1.42
   9  40  8.66 141.56  5.27       1.60
  10  40  3.10   4.33  5.87       1.78
  11  40 10.00 166.71  7.67       1.95
  12  40  5.70  16.66  7.67       2.13
  13  40  6.19 122.15  2.55       2.31
  14  40  6.14 154.31  3.46       2.49
  15  40  4.30   0.91  7.02       2.66
  16  40  3.64 124.78  0.01       2.84
  17  40  2.03 117.66  1.66       3.02
  18  40  8.65 145.94  5.41       3.20
  19  40  3.95  18.50  6.08       3.37
  20  40  0.89 187.71  3.34       3.55
  21  40  3.47 145.34  1.28       3.73
  22  40  2.94  81.26  2.53       3.91
  23  40  5.78 172.68  4.29       4.08
  24  40  5.61 115.02  2.11       4.26
  25  40 10.00 348.59 12.88       4.44
  26  40  8.06 336.00 11.34       4.62
  27  40  3.53  42.87  4.71       4.80
  28  40  7.01 334.54 10.34       4.98
  29  40  4.68 158.46  2.60       5.16
  30  40  3.56   2.76  6.31       5.33
  31  40  9.64 349.83 12.49       5.51
  32  40  5.53 125.85  1.88       5.69
  33  40  3.48 356.17  6.43       5.86
  34  40  3.76  39.63  5.01       6.05
  35  40  9.64 154.72  6.72       6.22
  36  40  5.78 351.93  8.69       6.40
  37  40 10.00 161.38  7.39       6.58
  38  40  4.01 340.52  7.29       6.77
  39  40  7.59 128.37  3.95       6.94
  40  40  5.92 153.60  3.24       7.13
