idegmean, nodedegmean      2.58     31.30
irep, nreps, i_mid_deg, node_mid_deg, diff_deg, elapsed_minutes
   1  40  2.80  35.53  0.30       0.96
   2  40  3.08  13.54  1.00       1.91
   3  40  3.71  32.37  1.13       2.87
   4  40  6.53   5.29  4.36       3.82
   5  40  4.34  29.98  1.76       4.77
   6  40  2.05   8.68  1.05       5.72
   7  40  4.24 357.45  2.54       6.69
   8  40  2.76  13.38  0.85       7.66
   9  40  2.64  21.99  0.43       8.62
  10  40  1.27 118.06  2.81       9.59
  11  40  3.17  21.59  0.76      10.54
  12  40  3.20   1.08  1.62      11.51
  13  40  4.23 359.02  2.47      12.47
  14  40  1.99 101.00  2.66      13.43
  15  40  5.12 341.49  3.98      14.39
  16  40  2.45  69.08  1.63      15.37
  17  40  2.90  43.00  0.64      16.33
  18  40  3.72  19.94  1.29      17.29
  19  40  2.50  62.09  1.35      18.26
  20  40  3.57  44.40  1.21      19.23
  21  40  2.66  48.54  0.79      20.21
  22  40  2.64  52.32  0.95      21.18
  23  40  4.01   3.79  2.09      22.14
  24  40  3.37  27.58  0.81      23.11
  25  40  1.21  73.05  1.86      24.08
  26  40  2.85  19.49  0.62      25.04
  27  40  2.19  22.85  0.52      26.01
  28  40  2.92  32.77  0.35      26.97
  29  40  3.60  30.79  1.02      27.93
  30  40  2.36  62.39  1.34      28.88
  31  40  5.98 357.45  4.10      29.84
  32  40  4.41   0.84  2.55      30.80
  33  40  2.62  38.15  0.31      31.76
  34  40  4.05  13.82  1.77      32.72
  35  40  2.01  36.70  0.61      33.69
  36  40  2.94  29.03  0.38      34.65
  37  40  5.60 357.70  3.73      35.61
  38  40  3.08   0.33  1.59      36.58
  39  40  2.02  23.69  0.64      37.55
  40  40  3.18  40.93  0.77      38.51
